"Index","Sentence"
1,"छत्रपती शिवाजी महाराजांनी स्वराज्य स्थापनेसाठी केलेल्या शौर्याचा इतिहास अमर आहे."
2,"पेशवे बाजीराव यांची वीरगाथा मराठी मनावर कोरलेली आहे."
3,"राजा छत्रसाल यांच्या आक्रमणाने मुघल सत्तेला मोठा धक्का बसला."
4,"संत तुकाराम यांच्या अभंगांनी मराठी संस्कृतीला आध्यात्मिक उंचीवर नेले."
5,"मराठा साम्राज्याचा विस्तार करणे हे पेशवे माधवरावांचे मुख्य ध्येय होते."
6,"बाजीप्रभू देशपांडे यांनी पावनखिंडीत मरण स्वीकारून शिवरायांच्या स्वराज्याला वाचवले."
7,"मराठा सरदारांनी त्यांच्या शौर्याने भारतीय इतिहासात अमर स्थान प्राप्त केले."
8,"शिवाजी महाराजांच्या राज्याभिषेकाने मराठी स्वाभिमानाचे पर्व सुरु झाले."
9,"संत ज्ञानेश्वरांच्या ‘ज्ञानेश्वरी’ने मराठी भाषेला नवे वळण दिले."
10,"शिवाजी महाराजांचा किल्ल्यांवरचा धोरणात्मक वर्चस्व इतिहासात अद्वितीय आहे."
11,"महाराणा प्रताप यांच्या सिंहगर्जनेने मुघल सैन्याचे कंबरडे मोडले."
12,"पेशवे नाना साहेबांनी ब्रिटिशांविरुद्धच्या युद्धात मराठ्यांची प्रतिष्ठा उंचावली."
13,"समर्थ रामदासांनी ‘दासबोध’च्या माध्यमातून समाजाला आदर्श शिक्षण दिले."
14,"मुघल सम्राट औरंगजेबाच्या विरोधात छत्रपती शिवाजी महाराजांनी प्रचंड प्रतिकार केला."
15,"मराठ्यांच्या नौदलाने पश्चिम किनारपट्टीवर आपले वर्चस्व प्रस्थापित केले."
16,"छत्रपती संभाजी महाराजांनी आपल्या पराक्रमाने मुघलांशी सामना दिला."
17,"छत्रपती शिवाजी महाराजांच्या गनिमीकाव्याच्या रणनीतीने शत्रूंची नाकेबंदी केली."
18,"महाराणा प्रताप यांच्या अजेय धैर्याने मेवाडचे गौरवशाली इतिहास घडवला."
19,"शिवाजी महाराजांच्या राज्याभिषेकाने मराठ्यांचे राज्य आणखी भक्कम केले."
20,"संत तुकारामांच्या अभंगांतून समाजाला नैतिकता व धार्मिकतेचा संदेश मिळतो."
21,"मराठा साम्राज्याचे संस्थापक छत्रपती शिवाजी महाराज हे एक अद्वितीय नेतृत्व होते."
22,"राजा राममोहन रॉय यांच्या सामाजिक सुधारणांनी भारतीय समाजात जागृती निर्माण केली."
23,"छत्रपती शाहू महाराजांनी शिक्षणाच्या क्षेत्रात क्रांतिकारी बदल घडवले."
24,"शिवाजी महाराजांनी आपल्या पराक्रमाने स्वराज्याची संकल्पना प्रत्यक्षात आणली."
25,"पेशवे बाजीरावांच्या नेतृत्वाखाली मराठ्यांनी उत्तर भारतात आपले वर्चस्व प्रस्थापित केले."
26,"महाराणी लक्ष्मीबाईंच्या शौर्याने ब्रिटिशांच्या विरुद्ध लढाईत महत्त्वपूर्ण विजय मिळवला."
27,"छत्रपती शिवाजी महाराजांच्या राज्यकारभारात आदर्श न्याय आणि प्रशासन पाहायला मिळाले."
28,"समर्थ रामदासांनी शिवरायांना राजकारणाचे धडे दिले."
29,"छत्रपती संभाजी महाराजांनी आपल्या बलिदानाने स्वराज्याचे संरक्षण केले."
30,"संत ज्ञानेश्वरांच्या ओवीतून मराठी भाषेला नवी दिशा मिळाली."
31,"छत्रपती शिवाजी महाराजांच्या किल्ल्यांनी स्वराज्याची भक्कम आधारशिला तयार केली."
32,"मराठ्यांच्या शौर्यगाथेत बाजीप्रभू देशपांडे यांचे नाव सुवर्णाक्षरांनी कोरलेले आहे."
33,"शिवरायांच्या न्यायप्रिय राज्यकारभाराचे उदहारण इतिहासात विरळा आहे."
34,"छत्रपती शिवाजी महाराजांच्या रणनीतीने मुघल सैन्याला पराभूत केले."
35,"शिवरायांनी आपल्या युद्धकौशल्याने अनेक किल्ल्यांवर विजय मिळवला."
36,"राजा राममोहन रॉय यांच्या पुढाकाराने सतीप्रथा बंद झाली."
37,"मराठा साम्राज्याच्या प्रबळ सेनेने शत्रूंचा पराभव केला."
38,"शिवाजी महाराजांच्या शौर्याने मराठी मातीचे वैभव वाढवले."
39,"छत्रपती संभाजी महाराजांची कर्तृत्वगाथा मराठ्यांच्या मनात कोरलेली आहे."
40,"राजा छत्रसाल यांच्या पराक्रमाने बुंदेलखंड स्वतंत्र झाले."
41,"शिवाजी महाराजांनी आपल्या कर्तृत्वाने स्वराज्याचे स्वप्न साकार केले."
42,"पेशवे बाजीरावांनी आपल्या धैर्याने आणि युद्धकौशल्याने मराठ्यांचे साम्राज्य विस्तारित केले."
43,"महाराणी ताराबाईंच्या नेतृत्वाखाली मराठ्यांनी मुघलांना पराभूत केले."
44,"संत तुकारामांच्या अभंगांनी मराठी समाजाला नवी दिशा दिली."
45,"शिवरायांच्या गनिमीकाव्यामुळे शत्रूंचे मनोबल खचले."
46,"छत्रपती शिवाजी महाराजांचे चरित्र म्हणजे शौर्य, धैर्य आणि न्यायाचे प्रतीक आहे."
47,"मराठा साम्राज्याच्या वैभवशाली इतिहासाचे प्रमुख शिल्पकार शिवाजी महाराज आहेत."
48,"संत ज्ञानेश्वरांच्या विचारांनी समाजात धार्मिक जागृती निर्माण केली."
49,"छत्रपती संभाजी महाराजांनी मुघलांच्या विरोधात लढताना शौर्याची पराकाष्ठा केली."
50,"शिवरायांच्या युद्धनीतीमुळे मराठ्यांचे साम्राज्य अधिकच मजबूत झाले."
51,"छत्रपती शिवाजी महाराजांनी स्वराज्य स्थापनेसाठी अनेक युद्धे लढली."
52,"पेशव्यांच्या काळात मराठा साम्राज्याची सीमा उत्तर भारतापर्यंत पोहोचली होती."
53,"शंभाजी महाराजांच्या पराक्रमाने शत्रू हतबल झाले होते."
54,"बाजीराव पेशव्यांच्या नेतृत्वाखाली मराठा सरदारांनी मुघल साम्राज्यावर आक्रमण केले."
